Season,Name,Age,Gender,Hometown,Country,Days Lasted,Reason / Outcome,Status,10 Items
1,Alan Kay,40,Male,"Blairsville, Georgia",United States,56,Victor,Winner,Saw; Axe; Sleeping bag; Large 2-quart pot; Ferro rod; Water bottle/canteen; Fishing line & hooks; Small gauge gill net; Trap wire; Knife
1,Sam Larson,22,Male,"Lincoln, Nebraska",United States,55,Lost the mind game,Tapped out,12x12 ground sheet tarp; Axe; Sleeping bag; Large 2-quart pot; Ferro rod; Fishing line & hooks; Bow and 6 arrows; Slingshot; Emergency rations; Knife
1,Mitch Mitchell,34,Male,"Bellingham, Massachusetts",United States,43,Mother's cancer,Tapped out,Axe; Sleeping bag; Bivvy bag; Large 2-quart pot; Ferro rod; Fishing line & hooks; Small gauge gill net; Bow and 6 arrows; Knife; Sharpening stone
1,Lucas Miller,32,Male,"Quasqueton, Iowa",United States,39,Felt content,Tapped out,12x12 ground sheet tarp; Saw; Axe; Sleeping bag; Large 2-quart pot; Ferro rod; Fishing line & hooks; Extra Tarp; Emergency rations; Knife
1,Dustin Feher,37,Male,"Pittsburgh, Pennsylvania",United States,8,Fear of storm,Tapped out,550 paracord; Axe; Sleeping bag; Large 2-quart pot; Ferro rod; Water bottle/canteen; Fishing line & hooks; Small gauge gill net; Slingshot; Knife
1,Brant McGee,44,Male,"Albemarle, North Carolina",United States,6,Consumed salt water,Tapped out,12x12 ground sheet tarp; 550 paracord; Axe; Sleeping bag; Large 2-quart pot; Ferro rod; Fishing line & hooks; Bow and 6 arrows; Emergency rations; Knife
1,Wayne Russell,46,Male,"Saint John, New Brunswick",Canada,4,Fear of bears,Tapped out,12x12 ground sheet tarp; 550 paracord; Axe; Sleeping bag; Large 2-quart pot; Ferro rod; Fishing line & hooks; Bow and 6 arrows; Emergency rations; Knife
1,Chris Weatherman,41,Male,"Umatilla, Florida",United States,1.5,Fear of wolves,Tapped out,12x12 ground sheet tarp; 550 paracord; Axe; Sleeping bag; Large 2-quart pot; Ferro rod; Fishing line & hooks; Bow and 6 arrows; Multitool; Knife
1,Joe Robinet,24,Male,"Windsor, Ontario",Canada,1,Loss of ferro rod,Tapped out,12x12 tarp; 550 paracord; Axe; Sleeping bag; Large 2-quart pot; Ferro rod; Fishing line & hooks; Small gauge gill net; Extra emergency rations; Large knife
1,Josh Chavez,31,Male,"Jackson, Ohio",United States,0.5,Fear of bears,Tapped out,12x12 ground sheet; 550 paracord; Saw; Axe; Sleeping bag; Bivvy bag; Large 2-quart pot; Ferro rod; Fishing line & hooks; Bow and 6 arrows
2,David McIntyre,50,Male,"Kentwood, Michigan",United States,66,Victor,Winner,Axe; Knife; Sleeping bag; Paracord; Pot; Fishing line & hooks; Ferro rod; Bow & arrows; Multitool; Gill net
2,Larry Roberts,44,Male,"Rush City, Minnesota",United States,64,"Hunger, mental breakdown",Tapped out,Axe; Pot; Sleeping bag; Paracord; Saw; Fishing line & hooks; Ferro rod; Bow & arrows; Knife; Multitool
2,Jose Martinez Amoedo,45,Male,"Santa Pola, Valencia",Spain/Canada,59,Fell off kayak into river,Tapped out,Axe; Knife; Sleeping bag; Paracord; Pot; Fishing line & hooks; Ferro rod; Bow & arrows; Multitool; Sharpening stone
